"C_TYPE"	"C_OBJECT"	"C_DESCRIPTION"	"P_TYPE"	"P_OBJECT"	"P_DESCRIPTION"
"FLOC"	"DA-CIP-39345"	"CHEMICAL INJECTION POINT"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CIP-39355"	"CHEMICAL INJECTION POINT"	"SYST"	"DK.DA.A.039"	"CHEMICAL INJECTION"
"FLOC"	"DA-CIP-39355"	"CHEMICAL INJECTION POINT"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CIP-39365"	"CHEMICAL INJECTION POINT"	"SYST"	"DK.DA.A.039"	"CHEMICAL INJECTION"
"FLOC"	"DA-CIP-39365"	"CHEMICAL INJECTION POINT"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CM-710001"	"WELL DA-01, NOT IN USE"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-CM-710001"	"WELL DA-01, NOT IN USE"	"SYST"	"DK.DA.B.035"	"WATER INJECTION"
"FLOC"	"DA-CM-710003"	"WELL DA-03, NOT IN USE"	"SYST"	"DK.DA.B.035"	"WATER INJECTION"
"FLOC"	"DA-CM-710003"	"WELL DA-03, NOT IN USE"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-CM-710004"	"WELL DA-04, NOT IN USE"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-CM-710004"	"WELL DA-04, NOT IN USE"	"SYST"	"DK.DA.B.035"	"WATER INJECTION"
"FLOC"	"DA-CM-710005"	"WELL DA-05, NOT IN USE"	"SYST"	"DK.DA.B.035"	"WATER INJECTION"
"FLOC"	"DA-CM-710005"	"WELL DA-05, NOT IN USE"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-CM-710006"	"WELL DA-06"	"SYST"	"DK.DA.B.030"	"WELL & WELLHEAD"
"FLOC"	"DA-CM-710006"	"WELL DA-06"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-CM-710007"	"WELL DA-07, NOT IN USE"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-CM-710007"	"WELL DA-07, NOT IN USE"	"SYST"	"DK.DA.B.035"	"WATER INJECTION"
"FLOC"	"DA-CVA-30710"	"CHOKE VALVE FOR WELL MA-01"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-CVA-30710"	"CHOKE VALVE FOR WELL MA-01"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CVA-30730"	"CHOKE VALVE FOR WELL MA-03"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CVA-30730"	"CHOKE VALVE FOR WELL MA-03"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-CVA-30750"	"CHOKE VALVE FOR WELL MA-04"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CVA-30750"	"CHOKE VALVE FOR WELL MA-04"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-CVA-30770"	"CHOKE VALVE FOR WELL DA-05"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CVA-30770"	"CHOKE VALVE FOR WELL DA-05"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-CVA-30790"	"CHOKE VALVE FOR MA-6"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-CVA-30790"	"CHOKE VALVE FOR MA-6"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CVA-30810"	"WATER INJECTION WELL MA-07"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-CVA-30810"	"WATER INJECTION WELL MA-07"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-DP-1818"	"DISTRIBUTION PANEL"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-DP-1818"	"DISTRIBUTION PANEL"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-DP-1819"	"DISTRIBUTION PANEL"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-DP-1819"	"DISTRIBUTION PANEL"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EHL-JB-2222-1"	"JUNCTION BOX"	"SYST"	"DK.DA.A.075"	"JUNCTION BOXE"
"FLOC"	"DA-EHL-JB-2222-1"	"JUNCTION BOX"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EIJB-150"	"JUNCTION BOX"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EIJB-150"	"JUNCTION BOX"	"SYST"	"DK.DA.A.075"	"JUNCTION BOXE"
"FLOC"	"DA-EIJB-151"	"JUNCTION BOX"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EIJB-151"	"JUNCTION BOX"	"SYST"	"DK.DA.A.075"	"JUNCTION BOXE"
"FLOC"	"DA-EIJB-152"	"JUNCTION BOX"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EIJB-152"	"JUNCTION BOX"	"SYST"	"DK.DA.A.075"	"JUNCTION BOXE"
"FLOC"	"DA-EIJB-156"	"JUNCTION BOX"	"SYST"	"DK.DA.A.075"	"JUNCTION BOXE"
"FLOC"	"DA-EIJB-156"	"JUNCTION BOX"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EML-2222-1"	"EMERGENCY LIGHTING FIXTURE"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-EML-2222-1"	"EMERGENCY LIGHTING FIXTURE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EML-2222-2"	"EMERGENCY LIGHTING FIXTURE"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-EML-2222-2"	"EMERGENCY LIGHTING FIXTURE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EML-2222-3"	"EMERGENCY LIGHTING FIXTURE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EML-2222-3"	"EMERGENCY LIGHTING FIXTURE"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-EML-2222-5"	"EMERGENCY LIGHTING FIXTURE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EML-2222-5"	"EMERGENCY LIGHTING FIXTURE"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-EML-2222-6"	"LIGHTING FIXTURE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EML-2222-6"	"LIGHTING FIXTURE"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-EML-2222-7"	"EMERGENCY LIGHTING FIXTURE"	"SYST"	"DK.DA.A.018"	"SWBD/TRANSFORMER/LIGHT"
"FLOC"	"DA-EML-2222-7"	"EMERGENCY LIGHTING FIXTURE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-ESC-06220"	"EVACUATION SUITS"	"SYST"	"DK.DA.A.006"	"SAFETY EQUIPMENT"
"FLOC"	"DA-ESC-06220"	"EVACUATION SUITS"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-ESDV-29012"	"LIFTGAS TIL MA-03 S/D"	"SYST"	"DK.DA.A.029"	"GAS LIFT"
"FLOC"	"DA-ESDV-29012"	"LIFTGAS TIL MA-03 S/D"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-ESDV-30848"	"SHUT DOWN VALVE"	"SYST"	"DK.DA.A.030"	"WELL & WELLHEAD"
"FLOC"	"DA-ESDV-30848"	"SHUT DOWN VALVE"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EX-01"	"12 KG POWDER POTABLE EXTINGUISHER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EX-01"	"12 KG POWDER POTABLE EXTINGUISHER"	"SYST"	"DK.DA.A.004"	"FIRE FIGHTING"
"FLOC"	"DA-EX-02"	"12 KG POWDER POTABLE EXTINGUISHER"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-EX-02"	"12 KG POWDER POTABLE EXTINGUISHER"	"SYST"	"DK.DA.A.004"	"FIRE FIGHTING"
"FLOC"	"DA-EX-36"	"DRY POWDER USED FOR PLATFORM A"	"SYST"	"DK.DA.A.004"	"FIRE FIGHTING"
