"unit of measure code","unit of measure name","unit of measure symbol","unit of measure dimension code","measurement system code","CFIHOS unique id","synonym","created date","modified date","terminated date","change request number","status"
"MMK","square millimetre","mm²","SURFAC","SI","CFIHOS-60001470",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"C17","square millimetre per second","mm²/s","VISKIN","SI","CFIHOS-60001471",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"SFM","standard cubic foot per minute","sft³/min","VOLFLO","Imperial","CFIHOS-60001171",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"SMH","standard cubic metre per hour","s m³/h","VOLFLO","SI","CFIHOS-60001217",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"VLT","volt","V","VOLTAG",,"CFIHOS-60001423",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"D53","watt per metre kelvin","W/(m.K)","THCOND","SI","CFIHOS-60001425",,"2019-03-06T10:03:24.828Z","2020-11-30T08:13:46.930Z",,"CR0022;CR0025;CR0032","STANDARD"
"WEE","week","wk","TIME",,"CFIHOS-65000002",,"2019-04-30T13:32:57.985Z","2021-09-29T09:18:19.089Z",,"CR0025;FR74","STANDARD"
,"weeks after delivery",,,,"CFIHOS-60001334",,"2019-03-06T10:03:24.828Z","2019-04-29T16:32:02.453Z","2019-04-29T16:32:02.453Z","CR0022;CR0025","TERMINATED"
,"weeks after order",,,,"CFIHOS-60001335",,"2019-03-06T10:03:24.828Z","2019-04-29T16:32:10.040Z","2019-04-29T16:32:10.040Z","CR0022;CR0025","TERMINATED"
,"weeks after test",,,,"CFIHOS-60001337",,"2019-03-06T10:03:24.828Z","2019-04-29T16:32:17.649Z","2019-04-29T16:32:17.649Z","CR0022;CR0025","TERMINATED"
,"weeks before test",,,,"CFIHOS-60001367",,"2019-03-06T10:03:24.828Z","2019-04-29T16:32:24.346Z","2019-04-29T16:32:24.346Z","CR0022;CR0025","TERMINATED"
,"weeks prior to delivery",,,,"CFIHOS-60001376",,"2019-03-06T10:03:24.828Z","2019-04-29T16:32:32.901Z","2019-04-29T16:32:32.901Z","CR0022;CR0025","TERMINATED"
"ANN","year","y","TIME",,"CFIHOS-60001426",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"A11","ångström","Å","LENGTH","SI","CFIHOS-60001429",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
