"source standard code","source standard description","source standard still to be completed indicator","CFIHOS unique id","change request number","status","created date","modified date","terminated date"
"IOGP S-700:2020","Special Purpose Couplings","yes","CFIHOS-90000067","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-703:2020","Low Voltage Motors – Specification","yes","CFIHOS-90000068","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-705:2020","Welding of Pressure Containing Equipment & Piping","yes","CFIHOS-90000069","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-708:2020","Subsea Pipeline Valves","yes","CFIHOS-90000070","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-710:2020","Air-cooled Heat Exchangers","yes","CFIHOS-90000071","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-712:2020","General Purpose Gear Units","yes","CFIHOS-90000072","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-713:2020","Special Purpose Gear Units","yes","CFIHOS-90000073","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-715:2020","Coating & Painting for Offshore, Marine Coastal & Subsea Environments","yes","CFIHOS-90000074","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-717:2020","Noise Emitting Equipment","yes","CFIHOS-90000075","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-719:2020","Water Fire Mist Protection Systems","yes","CFIHOS-90000076","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISA-TR20.00.01-2007","Specification Forms for Process Measurement and Control Instruments Part 1: General Considerations","no","CFIHOS-90000077","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISA-TR84.00.03-2019","Automation Asset Integrity of Safety Instrumented Systems (SIS)","no","CFIHOS-90000078","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10437:2003","PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — STEAM TURBINES — SPECIAL-PURPOSE APPLICATIONS","no","CFIHOS-90000079","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10438-1:2007","Lubrication, shaft-sealing and control-oil systems and auxiliaries — Part 1: General requirements","yes","CFIHOS-90000080","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10439-2:2015","PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — AXIAL AND CENTRIFUGAL COMPRESSORS AND EXPANDER-COMPRESSORS — PART 2: NON-INTEGRALLY GEARED CENTRIFUGAL AND AXIAL COMPRESSORS","no","CFIHOS-90000081","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10440-1:2007","Petroleum, petrochemical and natural gas industries — Rotary-type positive-displacement compressors — Part 1: Process compressors","no","CFIHOS-90000082","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10441:2007","Flexible couplings for mechanical power transmission — Special-purpose applications","yes","CFIHOS-90000083","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 13631:2002","Petroleum and natural gas industries — Packaged reciprocating gas compressors","yes","CFIHOS-90000084","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 13705:2012","Fired heaters for general refinery service","yes","CFIHOS-90000085","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 13706:2011","Air-cooled heat exchangers","yes","CFIHOS-90000086","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 13707:2000","PETROLEUM AND NATURAL GAS INDUSTRIES — RECIPROCATING COMPRESSORS","no","CFIHOS-90000087","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 13709:2009","Centrifugal pumps for petroleum, petrochemical and natural gas industries","yes","CFIHOS-90000088","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 13880:1999","Content and drafting of a technical specification","yes","CFIHOS-90000089","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 14224:2016","PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — COLLECTION AND EXCHANGE OF RELIABILITY AND MAINTENANCE DATA FOR EQUIPMENT","no","CFIHOS-90000090","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 15348:2002","PIPEWORK — METAL BELLOWS EXPANSION JOINTS — GENERAL [WITHDRAWN]","no","CFIHOS-90000091","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 15547-1:2005","Plate-type heat exchangers — Part 1: Plate-and-frame heat exchangers","yes","CFIHOS-90000092","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 1680:2013","Acoustics — Test code for the measurement of airborne noise emitted by rotating electrical machines","yes","CFIHOS-90000093","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 16812:2019","Shell-and-tube heat exchangers","yes","CFIHOS-90000094","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 19901-5:2016","PETROLEUM AND NATURAL GAS INDUSTRIES — SPECIFIC REQUIREMENTS FOR OFFSHORE STRUCTURES — PART 5: WEIGHT CONTROL DURING ENGINEERING AND CONSTRUCTION","no","CFIHOS-90000095","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 21049:2004","Pumps — Shaft sealing systems for centrifugal and rotary pumps","yes","CFIHOS-90000096","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 23251:2019","PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — PRESSURE-RELIEVING AND DEPRESSURING SYSTEMS","no","CFIHOS-90000097","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 25457:2008","Flare details for general refinery and petrochemical service","yes","CFIHOS-90000098","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 28300:2008","PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — VENTING OF ATMOSPHERIC AND LOW-PRESSURE STORAGE TANKS","no","CFIHOS-90000099","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 3046-1:2002","Reciprocating internal combustion engines — Performance — Part 1: Declarations of power, fuel…","yes","CFIHOS-90000100","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 3183:2019","PETROLEUM AND NATURAL GAS INDUSTRIES — STEEL PIPE FOR PIPELINE TRANSPORTATION SYSTEMS","yes","CFIHOS-90000102","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 8528-1:2018","RECIPROCATING INTERNAL COMBUSTION ENGINE DRIVEN ALTERNATING CURRENT GENERATING SETS — PART 1: APPLICATION, RATINGS AND PERFORMANCE","no","CFIHOS-90000103","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"MESC SPE 77/135",,"yes","CFIHOS-90000104","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"OCIMF",,"no","CFIHOS-90000106","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
