"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"other mechanical equipment","beam clamp","An equipment item that can be clamped to a beam to provide an attachment.","no","CFIHOS-30000001","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"vehicle","bicycle","A two or three wheeled vehicle designed to be propelled solely by human power, or a two or three wheeled vehicle that is a power assisted pedal cycle.","no","CFIHOS-30000002","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","blow out preventer","An artefact which is a stack or an assembly of heavy-duty valves intended to be attached to the top of the casing to control the well pressure.","no","CFIHOS-30000003","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","break glass unit","A device for actuating an alarm system that required a person to break the glass cover.","no","CFIHOS-30000004","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","breathing apparatus","A respirator in which air or oxygen is fed to a face mask carried by the wearer via a demand valve.","no","CFIHOS-30000005","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"infrastructure","bridge","Is a support structure intended to span a space.","no","CFIHOS-30000006","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"enclosure","cabinet","Is an enclosure intended to hold and protect electrical components.","no","CFIHOS-30000007","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"enclosure","caisson","A protective device used to protect equipment (e.g. riser pipes and submerged pumps) against environmental exposure.","no","CFIHOS-30000008","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"level transmitter","capacitance level transmitter","A level transmitter which uses the capacitance of the process material.","no","CFIHOS-30000010","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"vehicle","car","A vehicle of less than 3.5 tonnes for transporting people and small goods.","no","CFIHOS-30000011","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","cctv camera","Closed-Circuit TeleVision Camera capable of acquiring and delivering to a recording device full-motion video.","no","CFIHOS-30000012","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0014;CR0028;CR0030;CR0029;FR60","STANDARD"
"lifting device","chain hoist","A hoist utilizing a chain-rope for suspending load. Chain hoists are delivered as portable units or for permanent mounting, e.g. on a crane. They can be hand operated or air powered, electrical powered or hydraulic powered.","no","CFIHOS-30000013","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"infrastructure","chimney","Is a shaft (civil) intended to transport flue gas to a high location in the atmosphere. It may also be used to supply fresh air via a separate flue.","no","CFIHOS-30000014","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","chlorinator","A device used for the injection of chlorine into water for the purpose of disinfection.","no","CFIHOS-30000015","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0029;FR60","TERMINATED"
"other mechanical equipment","clamp","A mechanical device made for keeping objects firmly in place or position, temporary or permanently.","no","CFIHOS-30000016","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","cleaning machine","Any mechanical or electrical device that transmits or modifies energy to perform or assist a cleaning operation in the performance of human tasks.","no","CFIHOS-30000017","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","climbing net","A net in an open-meshed fabric twisted, knotted, or woven together at regular intervals made for climbing.","no","CFIHOS-30000018","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"analysing instrument","cold filter plugging point analyser","The temperature at which either the fuel specimen ceases to flow through a filter within 60 seconds or fails to return into the test jar is recorded as the Cold Filter Plugging Point.","no","CFIHOS-30000019","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"analysing instrument","colour analyser","An analyser intended to analyze the color spectrum of radiation.","no","CFIHOS-30000020","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0029;CR0030;CR0031;FR60","TERMINATED"
"transmitter","concentration transmitter","A transmitter measuring how much of a given substance there is mixed with another substance and transmit a signal proportional to the measured level.","no","CFIHOS-30000021","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","control module","A module for control functions.","no","CFIHOS-30000022","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"flow element","coriolis mass flow element","An element  located in a flowstream using the Coriolis principle to measure the flow.","no","CFIHOS-30000023","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0028;CR0029;CR0030;FR60","STANDARD"
"lifting device","crane hook block","A block with a hook for use with a crane.","no","CFIHOS-30000024","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","degasser","A device that removes air or gases (methane, H2S, CO2 and others) from drilling liquids.","no","CFIHOS-30000026","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","dehumidifier","A piece of equipment specifically designed to remove moisture from air.","no","CFIHOS-30000027","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0029;FR60","TERMINATED"
"health, safety and environment equipment class","deionizer","A filtration device used to purify tap water. They are normally composed of various resins that replace positive & negatively charged ions.","no","CFIHOS-30000028","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"transmitter","dew point transmitter","A facility for measuring dew point and transmitting a signal representing the measured temperature.","no","CFIHOS-30000029","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","diaphragm seal","A seal between two substance created of a impenetrable membrane.","no","CFIHOS-30000030","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"flow transmitter","differential pressure flow transmitter","A flow transmitter providing an output signal that is proportional to the flow inputs from a differential pressure flow meter.","no","CFIHOS-30000031","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"valve (non DCS connected)","directional pneumatic valve","Is a directional valve with linear action which is fitted with a pneumatic driven actuator for quick operation.  There are 9 different basic valve types to be distinquished. Floating diaphragm, hung diaphragm, piston, slide disc, flapper, lever and the tw","no","CFIHOS-30000032","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0011;CR0029;FR60","TERMINATED"
"general instrument","displacer chamber","Chamber for a displacer.","no","CFIHOS-30000033","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0014;CR0029;FR60","TERMINATED"
"level transmitter","displacer level transmitter","A level transmitter which uses a displacer as sensing element.","no","CFIHOS-30000034","yes",,"level float transmitter;displacement level transmitter;displacer (float) level transmitter","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"analysing instrument","distillation analyser","An analyser intended to determine the relation between the boiling temperatures and the fraction distilled. It includes the initial boiling point and the final boiling point.","no","CFIHOS-30000035","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"IT and telecom equipment","document scanner","A device used to translate print media into computer language so that a document can be viewed and read later on.","no","CFIHOS-30000036","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"tool","drilling machine","An artefact which is intended to operate and supply power to an artefact (instrument) with an edged or pointed end for making holes in hard substances by revolving or by a succession of blows.","no","CFIHOS-30000037","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"pump","eductor","A form of suction pump; a device using a high pressure jet of water to create partial vacuum at an intake opening to draw liquid from a sump.","no","CFIHOS-30000038","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"flow element","electromagnetic flow element","An element  located in a flowstream measuring the flow using electro-magnetic forces.","no","CFIHOS-30000040","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0028;CR0029;CR0030;FR60","STANDARD"
"level instrument","electronic level controller","An eletronic controller which uses in-built algorithms executed by electronic circuitry to perform its function","no","CFIHOS-30000041","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0029;FR60","TERMINATED"
"other mechanical equipment","exhaust","A piping assembly intended to transport exhaust gas or steam.","no","CFIHOS-30000042","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","expansion joint","Flexible joint between two pipes to receive expansion from the pipes.","no","CFIHOS-30000043","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","eye bath","A device used for cleaning your eyes.","no","CFIHOS-30000044","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","fall arrestor block","A block fitted with a steel rope or web line, with an emergency locking retractor and an automatic retrieval mechanism  that is designed to offer protection to workers at heights.","no","CFIHOS-30000045","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","fax machine","Machine capable of transmitting written input via telephone lines.","no","CFIHOS-30000046","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"infrastructure","fence","Is an artefact intended to act as a barrier and boundary or means of protection or confinement.","no","CFIHOS-30000047","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","fire blanket","A type of cover made of a material which does not burn very easily, which you throw over a fire to put it out or stop it from spreading.","no","CFIHOS-30000048","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"damper","fire damper","A closure intended for sealing off a duct in case of fire.","no","CFIHOS-30000049","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","fire door","A door capable of withstanding fire for a certain period of time and preventing fire from diverging.","no","CFIHOS-30000050","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0028;CR0030;CR0029;FR60","STANDARD"
"vehicle","fire fighting vehicle","A fire fighting vehicle.","no","CFIHOS-30000051","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","fire hydrant","A device where hoses can be connected for drawing water for fire fighting.","no","CFIHOS-30000052","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"fired heat transfer equipment class","fired heater","Is a fired heat transfer equipment intended to burn fuel and to transfer the heat of combustion to a liquid without vaporising the liquid.","no","CFIHOS-30000053","yes",,,"2019-10-01T00:47:46.434Z","2021-10-14T10:15:18.279Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","firewater monitor","The firewater discharge controller.","no","CFIHOS-30000054","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","first aid kit","A collection of functional equipment intended to be used for first aid service in case of emergency.","no","CFIHOS-30000055","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"piping and pipeline equipment","flame arrestor","An arrestor which is a trap over an opening, e.g. of a ventilation system or a pipe, to prevent flames from entering the system.","no","CFIHOS-30000056","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"control switch","flame switch","A specially designed switch with connections for inputs from multiple flame detectors. The switch has a built in logic to determine the presence of a flame based on these inputs.","no","CFIHOS-30000057","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"fired heat transfer equipment class","flare","A system that burns waste in an elevated flame in the open air.","no","CFIHOS-30000058","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"vessel","flash drum","A tank or vessel in which a process stream is charged or pumped and where lighter products flash off or vaporize and are drawn off at the top. The remainder heavier fractions are drawn off at the bottom of the vessel.","no","CFIHOS-30000059","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0013;CR0030;CR0029;FR60","STANDARD"
"tool","flash light","A small portable battry-powered electric lamp.","no","CFIHOS-30000060","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0028;CR0029;FR60","TERMINATED"
"flow instrument","flow conditioner","An artefact inserted into a pipe intended to reduce flow disturbances.","no","CFIHOS-30000061","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0029;FR60","TERMINATED"
"instrument equipment","flow instrument",,"yes","CFIHOS-30000062","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0014;CR0028;CR0029;FR60","TERMINATED"
"orifice plate","flow orifice plate","An orifice plate which restrict the flow and thus develops the differential pressure that is proportional to the square of the flow rate.","no","CFIHOS-30000063","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"tank and vessel","foam trap","A chamber into which unwanted condensate as foam from an air-flow, gas-flow or steam-flow in pipes are collected and discharged.","no","CFIHOS-30000064","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0013;CR0029;FR60","TERMINATED"
"detector","fog detector","A device capable of detecting droplets of water vapour suspended in the air near the ground.","no","CFIHOS-30000065","yes",,"meteorological sensor (visibility)","2019-10-01T00:47:46.434Z","2021-10-13T10:33:47.200Z",,"CR0002;CR0005;CR0012;CR0014;CR0030;CR0029;FR60","STANDARD"
"general instrument","force transmitter","A transmitter measuring the force with the SI-unit Newton (N), and generating a standardized output signal.","no","CFIHOS-30000066","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0014;CR0029;FR60","TERMINATED"
"infrastructure","foundation","Is a civil item which is a set of items suitable to bear an item and transfer its load to the ground.","no","CFIHOS-30000067","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"analysing instrument","freezing point analyser","An analyser intended to determine the freezing point of a liquid.","no","CFIHOS-30000068","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"piping and pipeline equipment","funnel","A hollow cone with a tube extending from the smaller end and that is designed to catch and direct a downward flow.","no","CFIHOS-30000070","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"infrastructure","furniture","Is an artefact which is necessary, useful or desirable, especially for living or working but is not a tool for production.","no","CFIHOS-30000071","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60;FR74","STANDARD"
"other mechanical equipment","fusible plug","A plug capable of being melted and fused.","no","CFIHOS-30000072","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical isolator","galvanic isolator","Galvanic isolation is the principle of isolating functional sections of electric systems so that charge-carrying particles cannot move from one section to another.","no","CFIHOS-30000073","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0012;CR0029;CR0030;FR60","STANDARD"
"analysing instrument","gas composition analyser","An analyser which analyses the composition of gaseous mixture with two or more components.","no","CFIHOS-30000074","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"separator","gas cyclone separator","A static device generating centrifugal force from an incoming flow which separates solid or liquids from a gas of a different density.","no","CFIHOS-30000075","yes",,"gascyclone separator","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0013;CR0029;CR0030;FR60","STANDARD"
"instrument equipment","general instrument","A process instrument that records values represented by the input signal(s).","yes","CFIHOS-30000076","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","grease injection unit","A system that injects grease for lubrication or sealing.","no","CFIHOS-30000077","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"heat exchanger","grille","Is a framework of metal bars or wire which is placed in front of something. Often a terminal unit for delivering supply air to a room or for collecting extract air from a room.","no","CFIHOS-30000078","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"tool","grinding machine","An artefact which is intended to wear down, polish, or sharpen by the abrasive action of a high-speed grinding wheel or disc.","no","CFIHOS-30000079","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"piping and pipeline equipment","guide post","An artefact which is an upstanding tapered shaft or rod fixed to a permanent guide base and intended to be used to guide equipment to the seabed.","no","CFIHOS-30000080","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","hard disk","An electromagnetic storage device, continuously available within a computer system.","no","CFIHOS-30000081","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"detector","heat and smoke detector","A detector capable of detecting both heat and smoke.","no","CFIHOS-30000082","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","heater plate","An electrical appliance for heating.","no","CFIHOS-30000083","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0029;FR60","TERMINATED"
"general instrument","horn","An alarm device that makes a loud warning sound.","no","CFIHOS-30000084","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","hose","A tubular which is flexible and capable of conveying liquids under pressure.","no","CFIHOS-30000085","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","hose reel","A reel capable of holding a hose.","no","CFIHOS-30000086","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","humidifier","Device used to increase the humidity in air by adding water under pressure as a spray into the air.","no","CFIHOS-30000087","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"analysing instrument","humidity analyser","A meter intended to measure and indicate and/or produce a signal which represents the measured humidity.","no","CFIHOS-30000088","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0029;CR0030;FR60","STANDARD"
"other mechanical equipment","hydraulic connector","An artefact for releasably connecting hydraulic fluid lines, having means for closing the fluid path when the connector is released.","no","CFIHOS-30000089","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","hydraulic power supply","An arrangement to supply hydraulic power according to specified levels and tolerances.","no","CFIHOS-30000090","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"level instrument","hydrostatic pressure level transmitter","A level transmitter measuring  level by sensing pressure resulting from the weight of liquid or gass","no","CFIHOS-30000091","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0002;CR0005;CR0014;CR0029;FR60","TERMINATED"
"electrical equipment class","hypochlorite generator","An apparatus that produces chlorine from a solution of water with sodium.","no","CFIHOS-30000092","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0029;FR60","TERMINATED"
"electrical equipment class","ice machine","A device that provides ice for immediate consumption with food or drink.","no","CFIHOS-30000093","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0029;FR60","TERMINATED"
"piping and pipeline equipment","ignitor","A device which is intended to initiate a spark that ignites a combustible mixture.","no","CFIHOS-30000094","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"infrastructure","industrial building","A building that is used for activities associated with manufacturing and is not an office building.","no","CFIHOS-30000096","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"equipment class","infrastructure","A basic physical and organizational structure or facilities (e.g. buildings and roads) needed for the operation of a site.","yes","CFIHOS-30000097","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"equipment class","instrument equipment","A physical object that detects an aspect of something; records, modifies and/or displays such an aspect or performs a combination of these activities.","yes","CFIHOS-30000098","no",,"instrumentation","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","intercom","Is a communication system.","no","CFIHOS-30000100","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"equipment class","IT and telecom equipment","Technology and Infrastructure to manage electronic information handling.","yes","CFIHOS-30000101","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"mixer","agitator","A propeller like device with agitational or rotational movement located in a tank to prevent the content of the tank to build component segments.","no","CFIHOS-30000102","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0009;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","air balancing unit","An air balancing unit on a nodding donkey.","no","CFIHOS-30000103","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","air handling unit","An artefact intended for central conditioning and pressure increase of ventilation air.","no","CFIHOS-30000104","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"detecting element","analyser element","Is an artefact intended to retrieve a material at a particular location and inserted into something so as to test its conditions.","no","CFIHOS-30000105","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"instrument equipment","analysing instrument","A detecting instrument that is intended to analyse a substance for its composition and/or properties.","no","CFIHOS-30000106","no",,"analyser instrument; analyser","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0028;CR0029;CR0030;FR60","STANDARD"
"electrical equipment class","annunciator","An instrument intended to monitor various parameters and provide an alarm for the points programmed into the control system.","no","CFIHOS-30000107","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0029;FR60","TERMINATED"
"IT and telecom equipment","attenuator","An attenuator is a telecommunication device that reduces the amplitude of a signal without appreciably distorting its waveform. Attenuators are usually passive devices. The degree of attenuation may be fixed, continuously adjustable, or incrementally adjustable.","no","CFIHOS-30000108","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"transmitter","axial displacement transmitter","A transmitter measuring an axial displacement and generating a standardized output signal representing the axial measured displacement.","no","CFIHOS-30000109","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0030;CR0029;FR60","STANDARD"
"damper","balancing damper","Is a gas flow damper intended to adjust an air flow rate through a duct.","no","CFIHOS-30000110","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
