"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"drilling equipment","rotary table","A 'well drilling system' and an 'artefact' in which the torque is transferred to the drill string using rotary table and kelly.","no","CFIHOS-30000915","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"health, safety and environment equipment class","safety display plan","An information object that indicates the location of safety signs and other relevant safety information.","no","CFIHOS-30000916","no","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"health, safety and environment equipment class","safety sign","An information object with a symbol representing some hazard or safety information.","no","CFIHOS-30000917","no","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"drilling equipment","slips","A physical object that consists of wedge-shaped pieces of metal loosely joined together and fitted into a bushing to support a string of pipe. The slips have gripping elements to prevent the pipe from slipping down the drilling hole.","no","CFIHOS-30000919","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"health, safety and environment equipment class","stretcher","An artefact which is a framework of poles, canvas, etc. for carrying a sick, injured or wounded person.","no","CFIHOS-30000921","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"health, safety and environment equipment class","strobe light","A 'luminaire' used to produce regular flashes of light.","no","CFIHOS-30000922","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"subsea infrastructure","subsea cable","An electric cable intended for underwater installation","no","CFIHOS-30000923","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"instrument equipment","system panel","An instrument panel dedicated to a particular system.","no","CFIHOS-30000925","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"drilling equipment","top drive","A top drive is a mechanical device on a drilling rig that provides clockwise torque to the drill string to facilitate the process of drilling a borehole.","no","CFIHOS-30000927","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"vehicle","tractor","A machine designed to deliver a high tractive effort (or torque) at slow speeds, for the purposes of hauling a trailer or machinery","no","CFIHOS-30000929","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"piping and pipeline equipment","turret","Equipment installed subsea related to a ships turret system","no","CFIHOS-30000930","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"health, safety and environment equipment class","twin agent skid","A skid assembly that supports a Twin Agent Fire Extinguishing System (TAFES).","no","CFIHOS-30000931","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
"other mechanical equipment","ventilator","A ventilator is a machine designed to mechanically move breathable air into and out of the lungs, to provide the mechanism of breathing for a patient who is physically unable to breathe, or breathing insufficiently.","no","CFIHOS-30000933","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-14T10:17:25.561Z",,"CR0031;FR60","STANDARD"
"health, safety and environment equipment class","water mist skid","A skid assembly containing the units required to operate a water mist system.","no","CFIHOS-30000934","yes","Requested by bp as part of owner operators alignment",,"2020-11-23T16:04:12.475Z","2021-10-12T14:57:36.093Z",,"CR0031;FR60","STANDARD"
