"tag class name","tag class CFIHOS unique ID","equipment class name","equipment class CFIHOS unique ID","reason for mapping","created date","modified date","terminated date","change request number","status"
"analysing instrument","CFIHOS-30000106","flash point analyser","CFIHOS-30000426",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","freezing point analyser","CFIHOS-30000068",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","gas chromatograph","CFIHOS-30000834",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","gas composition analyser","CFIHOS-30000074",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","gas liquid chromatograph","CFIHOS-30000835",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","humidity analyser","CFIHOS-30000088",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","liquid composition analyser","CFIHOS-30000120",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","multi property analyser","CFIHOS-30000137",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","ph analyser","CFIHOS-30000440",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","pour point analyser","CFIHOS-30000451",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","redox analyser","CFIHOS-30000206",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","solid composition analyser","CFIHOS-30000242",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","sound pressure level analyser","CFIHOS-30000245",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","specific gravity analyser","CFIHOS-30000248",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","thermal conductivity analyser","CFIHOS-30000477",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","vapour pressure analyser","CFIHOS-30000271",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","viscosity analyser","CFIHOS-30000489",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","wobbe index meter","CFIHOS-30000493",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"anchor","CFIHOS-30000510","anchor","CFIHOS-30000510",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"anemometer","CFIHOS-30000286","anemometer","CFIHOS-30000286",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"anode","CFIHOS-30000317","anode","CFIHOS-30000317",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"antenna","CFIHOS-30000397","antenna","CFIHOS-30000397",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"arrestor","CFIHOS-30000511","arrestor","CFIHOS-30000511",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"attenuator","CFIHOS-30000108","attenuator","CFIHOS-30000108",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"automatic identification system","CFIHOS-30000608","automatic identification system","CFIHOS-30000608",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"automatic switching equipment","CFIHOS-30000731","automatic switching equipment","CFIHOS-30000731",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"axial compressor","CFIHOS-30000516","axial compressor","CFIHOS-30000516",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"axial displacement element","CFIHOS-30000398","axial displacement element","CFIHOS-30000398",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"axial displacement transmitter","CFIHOS-30000109","axial displacement transmitter","CFIHOS-30000109",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"balancing damper","CFIHOS-30000110","balancing damper","CFIHOS-30000110",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"ball control valve","CFIHOS-30000806","ball control valve","CFIHOS-30000806",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"ball valve","CFIHOS-30000807","ball valve","CFIHOS-30000807",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"basin","CFIHOS-30000297","basin","CFIHOS-30000297",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"basket","CFIHOS-30000298","basket","CFIHOS-30000298",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"battery back-up power supply unit","CFIHOS-30000318","battery back-up power supply unit","CFIHOS-30000318",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"battery charger","CFIHOS-30000319","battery charger","CFIHOS-30000319",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"beam","CFIHOS-30000571","beam","CFIHOS-30000571",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"beam clamp","CFIHOS-30000001","beam clamp","CFIHOS-30000001",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bearing","CFIHOS-30000517","bearing","CFIHOS-30000517",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bell","CFIHOS-30000399","bell","CFIHOS-30000399",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bell nipple","CFIHOS-30000668","pipe","CFIHOS-30000496",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"belt conveyor","CFIHOS-30000562","belt conveyor","CFIHOS-30000562",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bicycle","CFIHOS-30000002","bicycle","CFIHOS-30000002",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"blast rated wall","CFIHOS-30000609","blast rated wall","CFIHOS-30000609",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"block and bleed valve","CFIHOS-30000808","block and bleed valve","CFIHOS-30000808",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"blow down valve","CFIHOS-30000635","ball control valve","CFIHOS-30000806",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","butterfly control valve","CFIHOS-30000809",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","gate control valve","CFIHOS-30000837",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","globe control valve","CFIHOS-30000839",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","plug control valve","CFIHOS-30000859",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow out preventer","CFIHOS-30000003","blow out preventer","CFIHOS-30000003",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"blower","CFIHOS-30000518","blower","CFIHOS-30000518",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"boiler","CFIHOS-30000384","boiler","CFIHOS-30000384",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"brake","CFIHOS-30000519","brake","CFIHOS-30000519",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"break glass unit","CFIHOS-30000004","break glass unit","CFIHOS-30000004",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"breathing apparatus","CFIHOS-30000005","breathing apparatus","CFIHOS-30000005",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bridge","CFIHOS-30000006","bridge","CFIHOS-30000006",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bridge bearing","CFIHOS-30000936","bridge bearing","CFIHOS-30000936",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"buckle initiator","CFIHOS-30000610","buckle initiator","CFIHOS-30000610",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"bund wall","CFIHOS-30000611","bund wall","CFIHOS-30000611",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"buoy","CFIHOS-30000595","buoy","CFIHOS-30000595",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bus duct","CFIHOS-30000612","bus duct","CFIHOS-30000612",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"busbar","CFIHOS-30000320","busbar","CFIHOS-30000320",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"butterfly control valve","CFIHOS-30000809","butterfly control valve","CFIHOS-30000809",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"butterfly valve","CFIHOS-30000810","butterfly valve","CFIHOS-30000810",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"cabinet","CFIHOS-30000007","cabinet","CFIHOS-30000007",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"cable reel","CFIHOS-30000321","cable reel","CFIHOS-30000321",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"cable tray","CFIHOS-30000937","cable tray","CFIHOS-30000937",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"caisson","CFIHOS-30000008","caisson","CFIHOS-30000008",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"calorimeter","CFIHOS-30000742","calorimeter","CFIHOS-30000742",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"cap","CFIHOS-30000299","cap","CFIHOS-30000299",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"capacitance level transmitter","CFIHOS-30000010","capacitance level transmitter","CFIHOS-30000010",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"capacitance probe","CFIHOS-30000400","capacitance probe","CFIHOS-30000400",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"capacitor","CFIHOS-30000733","capacitor","CFIHOS-30000733",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"chemical injection unit","CFIHOS-30000706","chemical injection unit","CFIHOS-30000706",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0015","STANDARD"
"chimney","CFIHOS-30000014","chimney","CFIHOS-30000014",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"choke control valve","CFIHOS-30000811","choke control valve","CFIHOS-30000811",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"choke valve","CFIHOS-30000812","choke valve","CFIHOS-30000812",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"christmas tree","CFIHOS-30000494","christmas tree","CFIHOS-30000494",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"circuit-breaker","CFIHOS-30000323","air circuit-breaker","CFIHOS-30000803",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"circuit-breaker","CFIHOS-30000323","gas-blast circuit-breaker","CFIHOS-30000836",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"circuit-breaker","CFIHOS-30000323","oil circuit-breaker","CFIHOS-30000854",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"circuit-breaker","CFIHOS-30000323","vacuum circuit-breaker","CFIHOS-30000874",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"clamp","CFIHOS-30000016","clamp","CFIHOS-30000016",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"cleaning machine","CFIHOS-30000017","cleaning machine","CFIHOS-30000017",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"climbing net","CFIHOS-30000018","climbing net","CFIHOS-30000018",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"clock","CFIHOS-30000324","clock","CFIHOS-30000324",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"cloud point analyser","CFIHOS-30000401","cloud point analyser","CFIHOS-30000401",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"clutch","CFIHOS-30000523","clutch","CFIHOS-30000523",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"coalescer","CFIHOS-30000572","coalescer","CFIHOS-30000572",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0013","STANDARD"
"cold filter plugging point analyser","CFIHOS-30000019","cold filter plugging point analyser","CFIHOS-30000019",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"cold storage unit","CFIHOS-30000741","galley equipment","CFIHOS-30000644",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"compass","CFIHOS-30000613","compass","CFIHOS-30000613",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"compensator","CFIHOS-30000637","compensator","CFIHOS-30000637",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"compressor","CFIHOS-30000524","axial compressor","CFIHOS-30000516",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009","STANDARD"
"compressor","CFIHOS-30000524","centrifugal compressor","CFIHOS-30000520",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009","STANDARD"
"compressor","CFIHOS-30000524","diaphragm compressor","CFIHOS-30000525",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009;CR0028","TERMINATED"
"compressor","CFIHOS-30000524","liquid ring compressor","CFIHOS-30000540",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009;CR0028","TERMINATED"
"compressor","CFIHOS-30000524","piston compressor","CFIHOS-30000545",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009;CR0028","TERMINATED"
"compressor","CFIHOS-30000524","reciprocating compressor","CFIHOS-30000551",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009","STANDARD"
"compressor","CFIHOS-30000524","rotary compressor","CFIHOS-30000552",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009","STANDARD"
"compressor","CFIHOS-30000524","screw compressor","CFIHOS-30000553",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009;CR0028","TERMINATED"
"compressor","CFIHOS-30000524","vane compressor","CFIHOS-30000559",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009;CR0028","TERMINATED"
"computer","CFIHOS-30000402","computer","CFIHOS-30000402",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"concentration transmitter","CFIHOS-30000021","concentration transmitter","CFIHOS-30000021",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"condenser","CFIHOS-30000385","condenser","CFIHOS-30000385",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"conductivity cell","CFIHOS-30000403","conductivity cell","CFIHOS-30000403",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"conductivity level transmitter","CFIHOS-30000404","conductivity level transmitter","CFIHOS-30000404",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"conductivity transmitter","CFIHOS-30000325","conductivity transmitter","CFIHOS-30000325",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"constant volume regulator","CFIHOS-30000882","constant volume regulator","CFIHOS-30000882",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"contactor","CFIHOS-30000326","contactor","CFIHOS-30000326",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"contactor column","CFIHOS-30000814","contactor column","CFIHOS-30000814",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"container","CFIHOS-30000939","container","CFIHOS-30000939",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"control box","CFIHOS-30000405","control box","CFIHOS-30000405",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"control module","CFIHOS-30000022","control module","CFIHOS-30000022",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"control panel","CFIHOS-30000327","control panel","CFIHOS-30000327",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"control valve","CFIHOS-30000638","ball control valve","CFIHOS-30000806",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"control valve","CFIHOS-30000638","butterfly control valve","CFIHOS-30000809",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"control valve","CFIHOS-30000638","choke control valve","CFIHOS-30000811",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"control valve","CFIHOS-30000638","diaphragm control valve","CFIHOS-30000817",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"control valve","CFIHOS-30000638","eccentric rotating disc control valve","CFIHOS-30000824",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"on-off valve","CFIHOS-30000651","plug control valve","CFIHOS-30000859",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011;CR0032","TERMINATED"
"optical beacon","CFIHOS-30000164","optical beacon","CFIHOS-30000164",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"overhead projector","CFIHOS-30000165","overhead projector","CFIHOS-30000165",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"overhead runway beam","CFIHOS-30000166","overhead runway beam","CFIHOS-30000166",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"oxidation reduction potential element","CFIHOS-30000855","oxidation reduction potential element","CFIHOS-30000855",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"pH element","CFIHOS-30000173","pH element","CFIHOS-30000173",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"package","CFIHOS-30000168","package","CFIHOS-30000168",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"padeye","CFIHOS-30000169","padeye","CFIHOS-30000169",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pager","CFIHOS-30000170","pager","CFIHOS-30000170",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"paging system","CFIHOS-30000171","paging system","CFIHOS-30000171",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pedestal","CFIHOS-30000908","pedestal","CFIHOS-30000908",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"personal basket","CFIHOS-30000172","personal basket","CFIHOS-30000172",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"petrol engine","CFIHOS-30000544","petrol engine","CFIHOS-30000544",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"ph analyser","CFIHOS-30000440","ph analyser","CFIHOS-30000440",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"photoelectric device","CFIHOS-30000174","photoelectric device","CFIHOS-30000174",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012;CR0028","TERMINATED"
"physical access control equipment","CFIHOS-30000652","physical access control equipment","CFIHOS-30000652",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pig detector","CFIHOS-30000441","pig detector","CFIHOS-30000441",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"pig launcher","CFIHOS-30000175","pig launcher","CFIHOS-30000175",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pig loop","CFIHOS-30000176","pig loop","CFIHOS-30000176",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pig receiver","CFIHOS-30000177","pig receiver","CFIHOS-30000177",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pig transmitter","CFIHOS-30000178","pig transmitter","CFIHOS-30000178",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pig trap","CFIHOS-30000179","pig trap","CFIHOS-30000179",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pilot operated relief valve","CFIHOS-30000856","pilot operated relief valve","CFIHOS-30000856",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"pipe","CFIHOS-30000496","pipe","CFIHOS-30000496",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pipe bend","CFIHOS-30000497","pipe bend","CFIHOS-30000497",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pipe bending machine","CFIHOS-30000180","pipe bending machine","CFIHOS-30000180",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pipe doping machine","CFIHOS-30000670","pipe doping machine","CFIHOS-30000670",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"pipe flange spade","CFIHOS-30000498","pipe flange spade","CFIHOS-30000498",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pipe support","CFIHOS-30000585","pipe support","CFIHOS-30000585",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pipe tee","CFIHOS-30000499","pipe tee","CFIHOS-30000499",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"pipeline","CFIHOS-30000500","pipeline","CFIHOS-30000500",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"piping expansion bellows","CFIHOS-30000501","piping expansion bellows","CFIHOS-30000501",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"piping purge unit","CFIHOS-30000710","electric piping purge unit","CFIHOS-30000826",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"piping purge unit","CFIHOS-30000710","hydraulic piping purge unit","CFIHOS-30000842",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0015","STANDARD"
"piping speciality item","CFIHOS-30000947","casing","CFIHOS-30000938",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"piping speciality item","CFIHOS-30000947","pipe reducer","CFIHOS-30000946",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"piping speciality item","CFIHOS-30000947","sample bomb","CFIHOS-30000948",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"piping speciality item","CFIHOS-30000947","sample cooler","CFIHOS-30000949",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"piping speciality item","CFIHOS-30000947","segment","CFIHOS-30000950",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"piping speciality item","CFIHOS-30000947","sleeve","CFIHOS-30000952",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"piping spool","CFIHOS-30000182","piping spool","CFIHOS-30000182",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"piston check valve","CFIHOS-30000857","piston check valve","CFIHOS-30000857",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
