"tag class name","tag class CFIHOS unique ID","equipment class name","equipment class CFIHOS unique ID","reason for mapping","created date","modified date","terminated date","change request number","status"
"turbine","CFIHOS-30000685","turbine","CFIHOS-30000685",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0028","TERMINATED"
"turbine flow meter","CFIHOS-30000482","turbine flow meter","CFIHOS-30000482",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"turbine flow transmitter","CFIHOS-30000264","turbine flow transmitter","CFIHOS-30000264",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"turbo expander","CFIHOS-30000558","turbo expander","CFIHOS-30000558",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009","STANDARD"
"turret","CFIHOS-30000930","turret","CFIHOS-30000930",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"twin agent skid","CFIHOS-30000931","fire extinguisher","CFIHOS-30000512",,"2020-11-23T16:52:08.931Z","2020-11-27T15:31:21.346Z",,"CR0031","STANDARD"
"twin agent skid","CFIHOS-30000931","twin agent skid","CFIHOS-30000931",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"ultrasonic flow meter","CFIHOS-30000483","ultrasonic flow meter","CFIHOS-30000483",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"ultrasonic flow transmitter","CFIHOS-30000265","ultrasonic flow transmitter","CFIHOS-30000265",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"ultrasonic level element","CFIHOS-30000266","ultrasonic level element","CFIHOS-30000266",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
