EquipmentUnit	Bundary	Component	ComponentId
Turbo expanders	Lubrication system	Pump	Pump
Turbo expanders	Lubrication system	Reservoir	Reservoir
Subsea production control	Master control (topside)	No breakdown	No breakdown
Gas turbines	Miscel laneous	Enclosure	Enclosure
Gas turbines	Miscel laneous	Flange joints	Flange joint
Gas turbines	Miscel laneous	Hood	Hood
Gas turbines	Miscel laneous	Purge air	Purge air
Gas turbines	Miscel laneous	Ventilation fan	Ventilation fan
Gas turbines	Miscel laneous	Water-wash system	Water-wash system
Boom system	Miscellaneous	Control valves	Control valve
Boom system	Miscellaneous	Internal power supply Amplifiers	Internal power supply Amplifier
Boom system	Miscellaneous	Joysticks	Joystick
Boom system	Miscellaneous	Load indicator	Load indicator
Boom system	Miscellaneous	PC/PLS	PC/PL
Combustion engines	Miscellaneous	Flange joints	Flange joint
Combustion engines	Miscellaneous	Hood	Hood
Compressors	Miscellaneous	Base frame	Base frame
Compressors	Miscellaneous	Coolers	Cooler
Compressors	Miscellaneous	Isolation valves Check valves	Isolation valves Check valve
Compressors	Miscellaneous	Magnetic-bearing control system Flange joints	Magnetic-bearing control system Flange joint
Compressors	Miscellaneous	Piping, pipe support and bellows Control valves	Piping, pipe support and bellows Control valve
Compressors	Miscellaneous	Purge air	Purge air
Compressors	Miscellaneous	Silencers	Silencer
Control logic units	Miscellaneous	Galvanic barriers Others	Galvanic barriers Other
Electric generators	Miscellaneous	Hood	Hood
Electric generators	Miscellaneous	Neutral grounding resistors	Neutral grounding resistor
Electric generators	Miscellaneous	Purge air	Purge air
Electric motors	Miscellaneous	Hood	Hood
Fire and gas detectors	Miscellaneous	Others	Other
Frequency converters	Miscellaneous	Bypass contactor	Bypass contactor
Frequency converters	Miscellaneous	Enclosure fixtures and fittings	Enclosure fixtures and fitting
Frequency converters	Miscellaneous	Excitation circuits	Excitation circuit
Frequency converters	Miscellaneous	Heaters	Heater
Heat exchangers	Miscellaneous	Fan	Fan
Heat exchangers	Miscellaneous	Miscellaneous	Miscellaneou
Heat exchangers	Miscellaneous	Motor	Motor
Heaters and boilers	Miscellaneous	Draft fan/motor Others	Draft fan/motor Other
Input devices	Miscellaneous	Cabling	Cabling
Input devices	Miscellaneous	Others	Other
Input devices	Miscellaneous	Piping	Piping
Lifeboats	Miscellaneous	Battery charger	Battery charger
Lifeboats	Miscellaneous	Bilge pump	Bilge pump
Lifeboats	Miscellaneous	Communication systems	Communication system
Lifeboats	Miscellaneous	Deluge pump/ piping/nozzles Air cylinder	Deluge pump/ piping/nozzles Air cylinder
Lifeboats	Miscellaneous	Electrical system incl. lights and navigation	Electrical system incl. lights and navigation
Lifeboats	Miscellaneous	Emergency equipment i	Emergency equipment i
Nozzles	Miscellaneous	Others	Other
Piping	Miscellaneous	Miscellaneous	Miscellaneou
Piping	Miscellaneous	Others	Other
Piping	Miscellaneous	Pipe support	Pipe support
Power transformers	Miscellaneous	(NGRs)	(NGRs)
Power transformers	Miscellaneous	Bushing insulators	Bushing insulator
Power transformers	Miscellaneous	Connectors	Connector
Power transformers	Miscellaneous	Dampers	Damper
Power transformers	Miscellaneous	Grounding	Grounding
Power transformers	Miscellaneous	Junction box	Junction box
Power transformers	Miscellaneous	Neutral grounding resistors 	Neutral grounding resistors
Power transformers	Miscellaneous	Penetrator b	Penetrator b
Power transformers	Miscellaneous	Silica-gel device	Silica-gel device
Power transformers	Miscellaneous	Terminal blocks	Terminal block
Power transformers	Miscellaneous	Wiring	Wiring
Pressure vessels	Miscellaneous	Miscellaneous	Miscellaneou
Pressure vessels	Miscellaneous	Others	Other
Pumps	Miscellaneous	Cooling/heating system	Cooling/heating system
Pumps	Miscellaneous	Cyclone separator	Cyclone separator
Pumps	Miscellaneous	Flange joints	Flange joint
Pumps	Miscellaneous	Pulsation damper	Pulsation damper
Pumps	Miscellaneous	Purge air	Purge air
Steam turbines	Miscellaneous	Cranking system Hood	Cranking system Hood
Storage tanks	Miscellaneous	Fire-fighting system	Fire-fighting system
Storage tanks	Miscellaneous	Lightning protection system	Lightning protection system
Storage tanks	Miscellaneous	Mixers	Mixer
Storage tanks	Miscellaneous	Others	Other
Subsea pressure vessels	Miscellaneous	Miscellaneous	Miscellaneou
Subsea pressure vessels	Miscellaneous	Others	Other
Subsea pumps a	Miscellaneous	Connector	Connector
Subsea pumps a	Miscellaneous	Cooling/heating Piping	Cooling/heating Piping
Subsea pumps a	Miscellaneous	Pulsation damper	Pulsation damper
Subsea pumps a	Miscellaneous	Purge system	Purge system
Switchgear	Miscellaneous	Cooling	Cooling
Switchgear	Miscellaneous	Enclosure f (cabinet)	Enclosure f (cabinet)
Switchgear	Miscellaneous	Interface cabinet	Interface cabinet
Swivels	Miscellaneous	Common items	Common item
Swivels	Miscellaneous	Tensioners	Tensioner
Top drives	Miscellaneous	Counter-balance compensator/ read-saver system	Counter-balance compensator/ read-saver system
Top drives	Miscellaneous	Guide dolly frame	Guide dolly frame
Top drives	Miscellaneous	Internal blowout preventers (kelly valves)	Internal blowout preventers (kelly valves)
Turbo expanders	Miscellaneous	Others	Other
UPS	Miscellaneous	Cabinet	Cabinet
UPS	Miscellaneous	Cooling fans	Cooling fan
UPS	Miscellaneous	Insulation	Insulation
UPS	Miscellaneous	Others	Other
Winches	Miscellaneous	Hood	Hood
Winches	Miscellaneous	Miscellaneous	Miscellaneou
Winches	Miscellaneous	Others	Other
Power transformers	Monitoring system	Bucholz relay	Bucholz relay
Power transformers	Monitoring system	Current transformers	Current transformer
Power transformers	Monitoring system	Level indicator	Level indicator
Power transformers	Monitoring system	Pressure relay	Pressure relay
Power transformers	Monitoring system	Relief valve	Relief valve
Power transformers	Monitoring system	Thermometer	Thermometer
Turrets	Mooring	Anchor	Anchor
Turrets	Mooring	Buoy a	Buoy a
Turrets	Mooring	Chain	Chain
Turrets	Mooring	Connection to structure	Connection to structure
Turrets	Mooring	Synthetic rope	Synthetic rope
Turrets	Mooring	Winch	Winch
Turrets	Mooring	Wire	Wire
Nozzles	Mounting assembly	Mounting connector	Mounting connector
Nozzles	Mounting assembly	Seals	Seal
Subsea pipelines	Onshore Isolation Station (OIS)	Onshore Isolation Station	Onshore Isolation Station
Subsea pipelines	Onshore Isolation Station (OIS)	Pig station	Pig station
Subsea pipelines	Onshore Isolation Station (OIS)	Structure - protective	Structure - protective
Subsea pipelines	Onshore Isolation Station (OIS)	Structure - support	Structure - support
Subsea pipelines	Onshore Isolation Station (OIS)	Valve f, process isolation	Valve f, process isolation
Subsea pipelines	Onshore Isolation Station (OIS)	Valve, check	Valve, check
Subsea pipelines	Onshore Isolation Station (OIS)	Valve, control	Valve, control
Subsea pipelines	Onshore Isolation Station (OIS)	Valve, utility isolation	Valve, utility isolation
Frequency converters	Output stage	Inverter	Inverter
Frequency converters	Output stage	Output filters	Output filter
Frequency converters	Output stage	Power cell	Power cell
Top drives	Pipe- handler assembly	actuators	actuator
Top drives	Pipe- handler assembly	incl. tilt 	incl. tilt
Top drives	Pipe- handler assembly	Link hanger 	Link hanger
Top drives	Pipe- handler assembly	Pipe- handler assembly	Pipe- handler assembly
Top drives	Pipe- handler assembly	Pipe-handler position motor	Pipe-handler position motor
Top drives	Pipe- handler assembly	Swivel coupling	Swivel coupling
Top drives	Pipe- handler assembly	Torque wrench	Torque wrench
Control logic units	Power supply	No subdivision	No subdivision
Winches	Power transmission	Bearing	Bearing
Winches	Power transmission	Coupling	Coupling
Winches	Power transmission	Gear	Gear
Winches	Power transmission	Shaft	Shaft
Gas turbines	Power turbine HP turbine	Casing	Casing
Gas turbines	Power turbine HP turbine	Piping	Piping
Gas turbines	Power turbine HP turbine	Radial bearing	Radial bearing
Gas turbines	Power turbine HP turbine	Rotor	Rotor
Gas turbines	Power turbine HP turbine	Seals	Seal
Gas turbines	Power turbine HP turbine	Stator	Stator
Gas turbines	Power turbine HP turbine	Thrust bearing	Thrust bearing
Gas turbines	Power turbine HP turbine	Valves	Valve
Subsea blowout preventers (BOP)	Primary control	Accumulators	Accumulator
Subsea blowout preventers (BOP)	Primary control	Battery backup (UPS) Push button	Battery backup (UPS) Push button
Subsea blowout preventers (BOP)	Primary control	Check valves	Check valve
Subsea blowout preventers (BOP)	Primary control	Control panels	Control panel
Subsea blowout preventers (BOP)	Primary control	Control Pod	Control Pod
Subsea blowout preventers (BOP)	Primary control	Control Pod	Control Pod
Subsea blowout preventers (BOP)	Primary control	Electrical power supply	Electrical power supply
Subsea blowout preventers (BOP)	Primary control	El-equipment/SEM	El-equipment/SEM
Subsea blowout preventers (BOP)	Primary control	Hydraulic bundles	Hydraulic bundle
Subsea blowout preventers (BOP)	Primary control	Hydraulic control fluid	Hydraulic control fluid
Subsea blowout preventers (BOP)	Primary control	Hydraulic power unit	Hydraulic power unit
Subsea blowout preventers (BOP)	Primary control	Instrumentation (e.g. 	Instrumentation (e.g.
Subsea blowout preventers (BOP)	Primary control	Instrumentation (e.g. flow/pressure sensors)	Instrumentation (e.g. flow/pressure sensors)
Subsea blowout preventers (BOP)	Primary control	Multiplex cables	Multiplex cable
Subsea blowout preventers (BOP)	Primary control	Other valves	Other valve
Subsea blowout preventers (BOP)	Primary control	Pilot valves	Pilot valve
Subsea blowout preventers (BOP)	Primary control	Piping/Hoses	Piping/Hose
Subsea blowout preventers (BOP)	Primary control	Pod reels	Pod reel
Subsea blowout preventers (BOP)	Primary control	Pod selector valve	Pod selector valve
Subsea blowout preventers (BOP)	Primary control	Power supply	Power supply
Subsea blowout preventers (BOP)	Primary control	Pressure regulator valves	Pressure regulator valve
Subsea blowout preventers (BOP)	Primary control	pressure sensor, readout)	pressure sensor, readout)
Subsea blowout preventers (BOP)	Primary control	Primary control	Primary control
Subsea blowout preventers (BOP)	Primary control	Rigid hydraulic supply line	Rigid hydraulic supply line
Subsea blowout preventers (BOP)	Primary control	Seals	Seal
Subsea blowout preventers (BOP)	Primary control	Shuttle valves	Shuttle valve
Subsea blowout preventers (BOP)	Primary control	Solenoid valves	Solenoid valve
Subsea blowout preventers (BOP)	Primary control	Subsea:	Subsea:
Subsea blowout preventers (BOP)	Primary control	Surface control unit	Surface control unit
Subsea blowout preventers (BOP)	Primary control	Surface:	Surface:
Surface blowout preventers (BOP)	Primary control	Battery backup (UPS)	Battery backup (UPS)
Surface blowout preventers (BOP)	Primary control	Check valves	Check valve
Surface blowout preventers (BOP)	Primary control	Control panels	Control panel
Surface blowout preventers (BOP)	Primary control	Control Pod	Control Pod
Surface blowout preventers (BOP)	Primary control	Electrical power supply	Electrical power supply
Surface blowout preventers (BOP)	Primary control	El-equipment/SEM	El-equipment/SEM
Surface blowout preventers (BOP)	Primary control	Hydraulic bundles (pilot lines and main supply) Multiplex cables	Hydraulic bundles (pilot lines and main supply) Multiplex cable
Surface blowout preventers (BOP)	Primary control	Hydraulic control fluid	Hydraulic control fluid
Surface blowout preventers (BOP)	Primary control	Hydraulic supply line	Hydraulic supply line
Surface blowout preventers (BOP)	Primary control	Instrumentation (e.g. flow/ pressure sensors)	Instrumentation (e.g. flow/ pressure sensors)
Surface blowout preventers (BOP)	Primary control	Instrumentation (e.g. pressure sensor, readout) Hydraulic power unit	Instrumentation (e.g. pressure sensor, readout) Hydraulic power unit
Surface blowout preventers (BOP)	Primary control	Other valves	Other valve
Surface blowout preventers (BOP)	Primary control	Pilot valves	Pilot valve
Surface blowout preventers (BOP)	Primary control	Piping/Hoses	Piping/Hose
Surface blowout preventers (BOP)	Primary control	Power supply	Power supply
Surface blowout preventers (BOP)	Primary control	Pressure regulator valves	Pressure regulator valve
Surface blowout preventers (BOP)	Primary control	Push button	Push button
Surface blowout preventers (BOP)	Primary control	Seals	Seal
Surface blowout preventers (BOP)	Primary control	Solenoid valves	Solenoid valve
Surface blowout preventers (BOP)	Primary control	Surface control unit	Surface control unit
Surface blowout preventers (BOP)	Primary control	Surface controls:	Surface controls:
Lifeboats	Propulsion	Engine Gear box/ transmission Propeller shaft	Engine Gear box/ transmission Propeller shaft
Lifeboats	Propulsion	Propeller	Propeller
Lifeboats	Propulsion	Steering nozzle	Steering nozzle
Lifeboats	Propulsion	Steering system	Steering system
Lifeboats	Propulsion	Waterjet	Waterjet
Subsea production control	Propulsion	Subsea production control	Subsea production control
Risers	Protection	Anode	Anode
Risers	Protection	Coating – external	Coating – external
Risers	Protection	Protection	Protection
Pumps	Pump unit	Casing	Casing
Pumps	Pump unit	Cylinder liner	Cylinder liner
Pumps	Pump unit	Diaphragm	Diaphragm
Pumps	Pump unit	Impeller	Impeller
Pumps	Pump unit	Piping	Piping
Pumps	Pump unit	Piston	Piston
Pumps	Pump unit	Radial bearing	Radial bearing
Pumps	Pump unit	Seals	Seal
Pumps	Pump unit	Shaft	Shaft
Pumps	Pump unit	Support	Support
Pumps	Pump unit	Thrust bearing	Thrust bearing
Pumps	Pump unit	Valves	Valve
UPS	Rectifier unit/ DC supply	Cabling	Cabling
UPS	Rectifier unit/ DC supply	Contactor feeder a	Contactor feeder a
UPS	Rectifier unit/ DC supply	Fuse(s)	Fuse(s)
UPS	Rectifier unit/ DC supply	Fused switch	Fused switch
UPS	Rectifier unit/ DC supply	Instrument	Instrument
UPS	Rectifier unit/ DC supply	Rectifier	Rectifier
UPS	Rectifier unit/ DC supply	Rectifier transformer	Rectifier transformer
UPS	Rectifier unit/ DC supply	Rectifier unit/ DC supply	Rectifier unit/ DC supply
Steam turbines	Regulating system	Filter	Filter
Steam turbines	Regulating system	Pump	Pump
Turrets	Riser and umbilical termination	Bend-restrictor lock Hang-off	Bend-restrictor lock Hang-off
Turrets	Riser and umbilical termination	Riser and umbilical termination	Riser and umbilical termination
Risers	Riser base	Gas lift	Gas lift
Risers	Riser base	Structure	Structure
Risers	Riser base	Valve, process isolation	Valve, process isolation
Risers	Riser base	Valve, utility isolation	Valve, utility isolation
Top drives	Rotary swivel	Axial, radial and thrust bearing	Axial, radial and thrust bearing
Top drives	Rotary swivel	Gooseneck	Gooseneck
Top drives	Rotary swivel	Packing/ seals	Packing/ seal
Top drives	Rotary swivel	Swivel housing	Swivel housing
Top drives	Rotary swivel	Swivel stem	Swivel stem
Subsea production control	Sensors	Combined pressure and temperature Pressure	Combined pressure and temperature Pressure
Subsea production control	Sensors	Flow	Flow
Subsea production control	Sensors	Leak	Leak
Subsea production control	Sensors	Level	Level
Subsea production control	Sensors	Position	Position
Subsea production control	Sensors	Sand	Sand
Subsea production control	Sensors	Temperature	Temperature
Subsea production control	Sensors	Vibration	Vibration
Boom system	Shaft seal  system	Diesel engine	Diesel engine
Boom system	Shaft seal  system	Electric engine	Electric engine
Boom system	Shaft seal  system	Hydraulic filters	Hydraulic filter
Boom system	Shaft seal  system	Hydraulic oil	Hydraulic oil
Boom system	Shaft seal  system	Hydraulic pumps	Hydraulic pump
Boom system	Shaft seal  system	Hydraulic tank	Hydraulic tank
Boom system	Shaft seal  system	Proportional valves	Proportional valve
Compressors	Shaft seal  system	Dry gas seal	Dry gas seal
Compressors	Shaft seal  system	Filters	Filter
Compressors	Shaft seal  system	Gear	Gear
Compressors	Shaft seal  system	Mechanical seal	Mechanical seal
Compressors	Shaft seal  system	Motor	Motor
Compressors	Shaft seal  system	Oil tank with heating Reservoir	Oil tank with heating Reservoir
Compressors	Shaft seal  system	Pump	Pump
Compressors	Shaft seal  system	Scrubber	Scrubber
Compressors	Shaft seal  system	Seal oil	Seal oil
Compressors	Shaft seal  system	Valves	Valve
Turbo expanders	Shaft seal  system	Seal gas	Seal ga
Turbo expanders	Shaft seal  system	Seal-gas equipment	Seal-gas equipment
Turbo expanders	Shaft seal  system	tem	tem
Subsea electrical power distribution	Static power cable b	Bend restrictor	Bend restrictor
Subsea electrical power distribution	Static power cable b	Factory joint	Factory joint
Subsea electrical power distribution	Static power cable b	Fibre-optic line	Fibre-optic line
Subsea electrical power distribution	Static power cable b	HV power line	HV power line
Subsea electrical power distribution	Static power cable b	Midline joint	Midline joint
Subsea electrical power distribution	Static power cable b	Offshore joint	Offshore joint
Subsea electrical power distribution	Static power cable b	Onshore cable termination unit	Onshore cable termination unit
Subsea electrical power distribution	Static power cable b	Sheath/armour	Sheath/armour
Subsea electrical power distribution	Static power cable b	Subsea cable termination unit	Subsea cable termination unit
Subsea electrical power distribution	Static power cable b	Topside cable termination unit h	Topside cable termination unit h
Subsea production control	Static umbilical	Bend restrictor	Bend restrictor
Subsea production control	Static umbilical	Fibre-optic line	Fibre-optic line
Subsea production control	Static umbilical	Hydraulic/ chemical line	Hydraulic/ chemical line
Subsea production control	Static umbilical	LV power/ signal line	LV power/ signal line
Subsea production control	Static umbilical	Sheath/ armour	Sheath/ armour
Subsea production control	Static umbilical	Subsea h umbilical-termination unit (SUTU)	Subsea h umbilical-termination unit (SUTU)
Subsea production control	Static umbilical	Topside umbilical-termination unit (TUTU)	Topside umbilical-termination unit (TUTU)
Subsea production control	Subsea control module	(DCV)	(DCV)
Subsea production control	Subsea control module	Accumulator subsea	Accumulator subsea
Subsea production control	Subsea control module	Chemical inj. coupling	Chemical inj. coupling
Subsea production control	Subsea control module	Control Valve 	Control Valve
Subsea production control	Subsea control module	Directional 	Directional
Subsea production control	Subsea control module	Fibre-optic connector d Filter	Fibre-optic connector d Filter
Subsea production control	Subsea control module	Hydraulic coupling	Hydraulic coupling
Subsea production control	Subsea control module	IWIS	IWI
Subsea production control	Subsea control module	LV power/ signal connector	LV power/ signal connector
Subsea production control	Subsea control module	Module base plate	Module base plate
Subsea production control	Subsea control module	Subsea electronic module	Subsea electronic module
Subsea production control	Subsea distr. Module	Accumulator subsea	Accumulator subsea
Subsea production control	Subsea distr. Module	Chemical inj. coupling	Chemical inj. coupling
Subsea production control	Subsea distr. Module	Fibre-optic connector d	Fibre-optic connector d
Subsea production control	Subsea distr. Module	Fibre-optic jumper i	Fibre-optic jumper i
Subsea production control	Subsea distr. Module	Hose	Hose
Subsea production control	Subsea distr. Module	Hydraulic coupling Piping	Hydraulic coupling Piping
Subsea production control	Subsea distr. Module	Hydraulic/ chemical line	Hydraulic/ chemical line
Subsea production control	Subsea distr. Module	jumper	jumper
Subsea production control	Subsea distr. Module	LV power/ signal 	LV power/ signal
Subsea production control	Subsea distr. Module	LV power/ signal connector	LV power/ signal connector
Subsea production control	Subsea distr. Module	Subsea bypass panel	Subsea bypass panel
Subsea production control	Subsea distr. Module	Subsea cabling IWIS	Subsea cabling IWI
Subsea pipelines	Subsea Isolation Station (SIS)	Pig station	Pig station
Subsea pipelines	Subsea Isolation Station (SIS)	Structure - protective	Structure - protective
Subsea pipelines	Subsea Isolation Station (SIS)	Structure - support	Structure - support
Subsea pipelines	Subsea Isolation Station (SIS)	Valve, check	Valve, check
Subsea pipelines	Subsea Isolation Station (SIS)	Valve, control	Valve, control
Subsea pipelines	Subsea Isolation Station (SIS)	Valve, process isolation	Valve, process isolation
Subsea pipelines	Subsea Isolation Station (SIS)	Valve, utility isolation	Valve, utility isolation
Subsea electrical power distribution	Subsea power distribution equipment	Control and monitoring m	Control and monitoring m
Subsea electrical power distribution	Subsea power distribution equipment	Subsea frequency converter d Subsea power jumper	Subsea frequency converter d Subsea power jumper
Subsea electrical power distribution	Subsea power distribution equipment	Subsea penetrator f	Subsea penetrator f
Subsea electrical power distribution	Subsea power distribution equipment	Subsea power connector n	Subsea power connector n
Subsea electrical power distribution	Subsea power distribution equipment	Subsea power distribution equipment	Subsea power distribution equipment
Subsea electrical power distribution	Subsea power distribution equipment	Subsea power transformer g	Subsea power transformer g
Subsea electrical power distribution	Subsea power distribution equipment	Subsea switchgear e	Subsea switchgear e
Subsea electrical power distribution	Subsea power distribution equipment	Subsea UPS	Subsea UP
Risers	Subsea X-mas tree	Risers	Riser
Subsea wellhead and X-mas trees	Subsea X-mas tree	Chemical inj. coupling	Chemical inj. coupling
Subsea wellhead and X-mas trees	Subsea X-mas tree	Connector	Connector
Subsea wellhead and X-mas trees	Subsea X-mas tree	Debris cap	Debris cap
Subsea wellhead and X-mas trees	Subsea X-mas tree	Flowspool	Flowspool
Subsea wellhead and X-mas trees	Subsea X-mas tree	High pressure cap	High pressure cap
Subsea wellhead and X-mas trees	Subsea X-mas tree	Hoses	Hose
Subsea wellhead and X-mas trees	Subsea X-mas tree	Internal isolation cap	Internal isolation cap
Subsea wellhead and X-mas trees	Subsea X-mas tree	Internal tree-cap plug	Internal tree-cap plug
Subsea wellhead and X-mas trees	Subsea X-mas tree	Internal tree-cap valve	Internal tree-cap valve
Subsea wellhead and X-mas trees	Subsea X-mas tree	Piping	Piping
Subsea wellhead and X-mas trees	Subsea X-mas tree	Tree cap	Tree cap
Subsea wellhead and X-mas trees	Subsea X-mas tree	Tree-guide frame	Tree-guide frame
Subsea wellhead and X-mas trees	Subsea X-mas tree	Valve, check	Valve, check
Subsea wellhead and X-mas trees	Subsea X-mas tree	Valve, choke	Valve, choke
Subsea wellhead and X-mas trees	Subsea X-mas tree	Valve, control	Valve, control
Subsea wellhead and X-mas trees	Subsea X-mas tree	Valve, other	Valve, other
Subsea wellhead and X-mas trees	Subsea X-mas tree	Valve, process isolation	Valve, process isolation
Subsea wellhead and X-mas trees	Subsea X-mas tree	Valve, utility isolation	Valve, utility isolation
Subsea wellhead and X-mas trees	Subsea X-mas tree	Valve, workover	Valve, workover
Control logic units	System bus	No subdivision	No subdivision
Subsea wellhead and X-mas trees	Tubing hanger	Chemical inj. coupling	Chemical inj. coupling
Subsea wellhead and X-mas trees	Tubing hanger	Hydraulic coupling	Hydraulic coupling
Subsea wellhead and X-mas trees	Tubing hanger	LV/power signal connector	LV/power signal connector
Subsea wellhead and X-mas trees	Tubing hanger	Tubing-hanger body	Tubing-hanger body
Subsea wellhead and X-mas trees	Tubing hanger	Tubing-hanger isolation plug	Tubing-hanger isolation plug
Surface wellhead and X-mas trees	Tubing hanger	(termination in control line block)	(termination in control line block)
Surface wellhead and X-mas trees	Tubing hanger	Back pressure valve	Back pressure valve
Surface wellhead and X-mas trees	Tubing hanger	Chemical injection coupling	Chemical injection coupling
Surface wellhead and X-mas trees	Tubing hanger	El. fiber (termination in control line block)	El. fiber (termination in control line block)
Surface wellhead and X-mas trees	Tubing hanger	Hydraulic coupling	Hydraulic coupling
Surface wellhead and X-mas trees	Tubing hanger	Power/signal coupler	Power/signal coupler
Surface wellhead and X-mas trees	Tubing hanger	Tubing hanger seals	Tubing hanger seal
Surface wellhead and X-mas trees	Tubing hanger	Tubing head spool	Tubing head spool
Surface wellhead and X-mas trees	Tubing hanger	Tubing-hanger body	Tubing-hanger body
Surface wellhead and X-mas trees	Tubing hanger	Tubing-hanger isolation plug	Tubing-hanger isolation plug
Turrets	Utility systems	Ballast system	Ballast system
Turrets	Utility systems	Bilge system	Bilge system
Turrets	Utility systems	Lock buoy/ship system a Power system	Lock buoy/ship system a Power system
Turrets	Utility systems	Pull-in a	Pull-in a
Turrets	Utility systems	Ventilation	Ventilation
Piping	Valve	Accessories	Accessorie
Piping	Valve	Actuator	Actuator
Piping	Valve	Bonnet	Bonnet
Piping	Valve	Valve body	Valve body
Piping	Valve	Valve seals	Valve seal
Subsea wellhead and X-mas trees	Vertical connection module (VCM)	Control system compensation Swivel	Control system compensation Swivel
Subsea wellhead and X-mas trees	Vertical connection module (VCM)	Funnel guide	Funnel guide
Subsea wellhead and X-mas trees	Vertical connection module (VCM)	ROV panel	ROV panel
Subsea wellhead and X-mas trees	Vertical connection module (VCM)	ROV-panel override system	ROV-panel override system
Subsea wellhead and X-mas trees	Vertical connection module (VCM)	Valve and actuator	Valve and actuator
Subsea wellhead and X-mas trees	Vertical connection module (VCM)	VCM connector	VCM connector
Gas turbines	Water/Steam injection 	Filter	Filter
Gas turbines	Water/Steam injection 	Piping	Piping
Gas turbines	Water/Steam injection 	Pump	Pump
Gas turbines	Water/Steam injection 	Seals	Seal
Gas turbines	Water/Steam injection 	Valves	Valve
Gas turbines	Water/Steam injection 	Wires	Wire
Surface well control equipment (for well intervention)	Well Intervention BOP	Ram assembly	Ram assembly
Surface well control equipment (for well intervention)	Well Intervention BOP	Sealing element	Sealing element
Surface well control equipment (for well intervention)	Well Intervention BOP	Shearing element	Shearing element
Surface wellhead and X-mas trees	X-mas tree	Tree caps	Tree cap
Surface wellhead and X-mas trees	X-mas tree	Tree loops/flowlines	Tree loops/flowline
Surface wellhead and X-mas trees	X-mas tree	Tree/wellhead connector	Tree/wellhead connector
Surface wellhead and X-mas trees	X-mas tree	Valve, check	Valve, check
Surface wellhead and X-mas trees	X-mas tree	Valve, choke	Valve, choke
Surface wellhead and X-mas trees	X-mas tree	Valve, other	Valve, other
Surface wellhead and X-mas trees	X-mas tree	Valve, process isolation	Valve, process isolation
Surface wellhead and X-mas trees	X-mas tree	Valve, utility isolation 	Valve, utility isolation
Surface wellhead and X-mas trees	X-mas tree	X-mas tree/flowline connection (interface point)	X-mas tree/flowline connection (interface point)
